method,architecture,source,family,AUC,ECE_raw,ECE_cal
effDF40_StyleGAN2,EfficientNet-B4,DF40,EFS,0.46579603347111387,0.558843415572647,0.1807733227528427
effDF40_blendface,EfficientNet-B4,DF40,FS,0.943305929620168,0.02068497436513624,0.0368374051607658
effDF40_ddim,EfficientNet-B4,DF40,EFS,0.7449898284049556,0.27184051401007076,0.03181949399265716
effDF40_facevid2vid,EfficientNet-B4,DF40,FR,0.7112819498270837,0.3579825422844428,0.19831450356985897
effDF40_fomm,EfficientNet-B4,DF40,FR,0.7667637099337812,0.3362294059247863,0.115370353397848
effDF40_inswap,EfficientNet-B4,DF40,FS,0.7213611399636808,0.2530821963966078,0.09922083712504898
effDF40_sd2.1,EfficientNet-B4,DF40,EFS,0.776735946159353,0.22637371402358733,0.03344703743755424
effDF40_simswap,EfficientNet-B4,DF40,FS,0.8606618741177426,0.13758185701713946,0.04487847505430135
