method,AUC,dispersion,entropy,ECE_cal,n
StyleGAN2,0.485,0.3229,0.3326,0.1925,33794
pixart,0.4895,0.3632,0.2907,0.1741,33794
StyleGAN3,0.4947,0.3286,0.3355,0.1897,33794
sadtalker,0.4959,0.2991,0.3599,0.056,26606
StyleGANXL,0.4991,0.2943,0.3703,0.0928,33794
DiT,0.5305,0.3094,0.3794,0.0361,33794
wav2lip,0.535,0.3364,0.3481,0.0816,26434
SiT,0.5555,0.3157,0.3893,0.0595,33794
lia,0.6137,0.335,0.3927,0.062,25426
pirender,0.6357,0.3064,0.4435,0.0404,25805
facevid2vid,0.6661,0.3124,0.4473,0.0508,25510
fomm,0.718,0.311,0.4617,0.0717,25898
inswap,0.7434,0.3581,0.3764,0.0505,19053
ddim,0.764,0.3498,0.3791,0.0253,33794
sd2.1,0.7928,0.357,0.3387,0.0199,33794
facedancer,0.8135,0.3672,0.3131,0.0315,25872
simswap,0.8408,0.3565,0.3092,0.0387,25942
fsgan,0.8693,0.3638,0.2519,0.0362,25221
faceswap,0.9163,0.3332,0.2446,0.0365,25793
blendface,0.9284,0.3359,0.2107,0.0246,25943
