method,era,family,n,AUC,ECE_raw,ECE_cal
faceswap,2016,FS,12892,0.8919,0.0688,0.0455
fomm,2019,FR,12947,0.8008,0.1562,0.0544
fsgan,2019,FS,12608,0.9004,0.1069,0.0364
wav2lip,2019,FR,13196,0.4701,0.511,0.2238
StyleGAN2,2020,EFS,16967,0.6491,0.3257,0.0629
ddim,2020,EFS,16967,0.7661,0.1973,0.0411
simswap,2020,FS,12966,0.9478,0.0828,0.0238
StyleGAN3,2021,EFS,16967,0.6792,0.2894,0.0596
facevid2vid,2021,FR,12805,0.8216,0.1343,0.0637
pirender,2021,FR,12911,0.688,0.2652,0.0894
DiT,2022,EFS,16967,0.5214,0.4752,0.1608
StyleGANXL,2022,EFS,16967,0.6374,0.3414,0.0932
lia,2022,FR,12742,0.6068,0.3596,0.1462
sd2.1,2022,EFS,16967,0.6879,0.2716,0.0442
blendface,2023,FS,12930,0.9429,0.0807,0.0225
facedancer,2023,FS,12962,0.9327,0.0704,0.0254
inswap,2023,FS,9489,0.8152,0.1581,0.0726
pixart,2023,EFS,16967,0.4329,0.5805,0.2653
sadtalker,2023,FR,13313,0.427,0.5545,0.2639
SiT,2024,EFS,16967,0.5535,0.4356,0.0966
rddm,2024,EFS,9826,0.733,0.1496,0.1476
