method,AUC,ECE_cal,faithfulness_rankcorr,ks_vs_ref,entropy,wasserstein_vs_ref,n_faith
faceswap,0.9261,0.02,0.5865,0.2813,0.3528,0.2475,30
fomm,0.7668,0.1154,0.2589,0.2191,0.6661,0.1317,30
fsgan,0.8733,0.072,0.4074,0.2197,0.3635,0.195,30
wav2lip,0.5501,0.2545,0.1103,0.2417,0.5022,0.1682,30
StyleGAN2,0.4658,0.1808,0.2772,0.2702,0.4799,0.2064,30
ddim,0.745,0.0318,0.1845,0.2015,0.547,0.0986,30
simswap,0.8607,0.0449,0.3167,0.2134,0.4461,0.1543,30
StyleGAN3,0.4765,0.2063,0.0847,0.2595,0.484,0.1931,30
facevid2vid,0.7113,0.1983,0.3665,0.2375,0.6453,0.1401,30
pirender,0.6648,0.1808,0.0918,0.2575,0.6398,0.1534,30
DiT,0.5073,0.1558,0.161,0.2798,0.5474,0.1909,30
StyleGANXL,0.4768,0.191,0.1923,0.303,0.5342,0.2221,30
lia,0.6509,0.1726,0.2268,0.22,0.5666,0.133,30
sd2.1,0.7767,0.0334,0.5123,0.2039,0.4886,0.1195,30
blendface,0.9433,0.0368,0.397,0.2905,0.304,0.2659,30
facedancer,0.8588,0.07,0.4016,0.1937,0.4517,0.123,30
inswap,0.7214,0.0992,0.3193,0.1546,0.5431,0.0781,30
pixart,0.4721,0.2054,0.2352,0.2081,0.4194,0.1669,30
sadtalker,0.4894,0.2538,0.0903,0.3012,0.5192,0.2229,30
SiT,0.5346,0.1241,0.2167,0.2643,0.5616,0.1736,30
